ID,Lable,Sender,Messages,Intervention type,Intervention message,Time spent (type),time spent (Message)  ,,,,,,,,,,,,,,,,,,
,,B,"I understand where you're coming from, but I'm not the only one who uses the kitchen. Why am I being singled out? Are you sure I left the dirty dishes in the kitchen?",,,,,,,,,,,,,,,,,,,,,,
6,Confusion,A,"Hi, I made a reservation for tonight at 7 PM under the name Smith, but when I arrived, I was told there was no table available for me. How can this happen?","1. Encourage exchanges of information, 3. Let the parties know that their concerns are understood, 4. Promote a productive level of emotional expression","Hi everyone, I understand tensions are high given the situation. A should provide more information about specific needs or constraints for this evening. B should understand that the reunion cannot be changed and requires immediate attention. Additionally, B should recognize the significant impact on A's evening plans and act in a more understanding way to find an immediate solution, rather than offering a table two hours later.",30,300,,,,,,,,,,,,,,,,,,
,,B,"I apologize for the inconvenience, Mr. Smith. I believe we have already provided services for a Mr. Smith. It seems there was a mix-up with our booking system. We are fully booked tonight, but we can offer you a table at 9 PM as a compromise.",,,,,,,,,,,,,,,,,,,,,,
,,A,"That's unacceptable. I made this reservation weeks ago, and I have guests waiting. This ruins our evening plans. What can you do to make this right now, not two hours later?",,,,,,,,,,,,,,,,,,,,,,
,,B,I understand your frustration. Let me see what I can do. Perhaps we can arrange for complimentary drinks at the bar while you wait. We're trying our best under the circumstances.,,,,,,,,,,,,,,,,,,,,,,
7,Evidential,A,"Hi landlord, I'm having problems with the apartment I'm renting from you, the people upstairs are very noisy and keep walking around upstairs. I can't sleep at night, can you help me to solve it?","1. Encourage exchanges of information, 3. Let the parties know that their concerns are understood, 13. Propose solutions that meet the fundamental interests of all parties.","Hi, is it possible for A to give to B more details on the frequency and the types of noises with the evidences ? Even if the house is old and then, silence is complicated, it is necessary to provide a peaceful environment to the tenant. If evidences certify the heavy noises occur every nights, it is important for B to ask A's neighbors to reduce it.",65,225,,,,,,,,,,,,,,,,,,
,,B,"It's normal for people to walk upstairs, this house is very old and the soundproofing is just not good, I will help to warn them, but I can't force them to solve it, and you have no evidence to prove that the noise they are making is beyond the law. So I can't ask someone to change anything just because of your words.",,,,,,,,,,,,,,,,,,,,,,
,,A,"But this noise is beyond the general tolerance, and it has a serious impact on my sleep. You, as the landlord, have an obligation to help us out, right? I ask you to solve this problem.",,,,,,,,,,,,,,,,,,,,,,
,,B,"I have evidence in my hands, audio and video evidence that they are making noise late at night. You, the landlord, are evading your responsibility, you collect the rent but are not willing to help the tenants to solve the problem, there is no way to provide a good living environment for the tenants, I am very dissatisfied!",,,,,,,,,,,,,,,,,,,,,,
8,Evidential,A,"The new fence you've put up extends into my property. According to the property survey I have, your fence crosses the boundary line.","2. Help the parties understand each other's views, 5. Lay out the differences in perceptions and interests, 6. Identify and narrow issues","Hello everyone, given the circumstances, it's important to understand each other's perspectives. B should understand that A's concern is based on a property survey, a legal document determining boundary lines, while A should acknowledge B's long-term perception of the boundary. A should explain the property survey findings, and B should share why the perceived boundary has been acceptable for years. Both parties should focus on resolving the legal boundary issue based on the property survey, setting aside personal perceptions.",30,270,,,,,,,,,,,,,,,,,,
,,B,"I've been living here for years, and that's always been the perceived boundary. I don't see why there's an issue now.",,,,,,,,,,,,,,,,,,,,,,
,,A,"Regardless of perception, the legal boundary is what matters, and I'd like my property space respected. We need to move your fence back.",,,,,,,,,,,,,,,,,,,,,,
,,B,"Aren’t you just talking off the top of your head too? Why is it that the boundaries you mention are the legal boundaries, but the ones I mention aren't?",,,,,,,,,,,,,,,,,,,,,,
9,Impossible,A,"I've contacted you because my laptop stopped working within the warranty period, but your customer service claims the issue isn't covered under warranty.","1. Encourage exchanges of information, 6. Identify and narrow issues, 7. Help parties realistically evaluate alternatives to settlement","Hi both, Could we start by reviewing any detailed inspection reports or evidence related to the laptop's condition? This will help us get a clearer understanding of the issue and determine the next steps.",,,,,,,,,,,,,,,,,,,,
,,B,"Our warranty covers manufacturing defects, but according to our technicians, your laptop's issue was caused by accidental damage, which is not covered.",,,,,,,,,,,,,,,,,,,,,,
,,A,The laptop has been on my desk since I bought it; it has not experienced any accidental damage. This is a manufacturing issue and should be covered.,,,,,,,,,,,,,,,,,,,,,,
,,B,"We have inspected your laptop and we believe it is human damaged, sorry we are unable to make any compensation for your request. We will not be responding to your subsequent requests.",,,,,,,,,,,,,,,,,,,,,,
10,Impossible,A,"I'm calling to complain about my flight from New York to London, which was delayed by 6 hours. This caused me to miss an important meeting. I expect compensation for this inconvenience.","2. Help the parties understand each other's views, 7. Help parties realistically evaluate alternatives to settlement","Hello both, it's understandable how frustrating a flight delay can be, but understanding each other's views can help. A, please understand that the delay was due to weather conditions beyond the airline's control, and B, acknowledge the significant inconvenience A faced due to the missed meeting. Let's look at possible solutions! B, consider if there are other forms of compensation or assistance that could address A's inconvenience, such as additional discounts or future service guarantees.",20,200,,,,,,,,,,,,,,,,,,
,,B,"I'm sorry for the delay, but according to our policy, we only offer compensation for delays exceeding 8 hours. Weather conditions, which were beyond our control, caused the delay.",,,,,,,,,,,,,,,,,,,,,,
,,A,But your policy also states that passengers should be assisted and compensated if the delay causes significant inconvenience. Missing my meeting has had serious repercussions for me.,,,,,,,,,,,,,,,,,,,,,,
,,B,"While I understand your situation, the policy is quite clear on the conditions for compensation. We can offer you a discount on future flights as a gesture of goodwill.",,,,,,,,,,,,,,,,,,,,,,
11,Emotional,A,I worked very hard for that promotion and got nothing. Feels like nobody gives a damn about my hard work around here.,"1. Encourage exchanges of information, 2. Help the parties understand each other's views","Hi, could A gives more information and precise explanation to B, concerning the reasons that B didn't receive any promotion. If the reason given is clearly for business, it seems important for B to understand your point of view and to take into consideration B's efforts.  ",33,360,,,,,,,,,,,,,,,,,,
,,B,"Hey, we appreciate your effort, but the decision wasn't about you personally. It was just business.",,,,,,,,,,,,,,,,,,,,,,
,,A,Business cut the crap. I see these new kids getting ahead when I'm way more qualified. It's bullshit and you know it,,,,,,,,,,,,,,,,,,,,,,
,,B,"I get that you're upset, but throwing a tantrum isn't going to change the decision.",,,,,,,,,,,,,,,,,,,,,,
12,Emotional,A,"Hey, not cool how you completely ignored my input in that meeting. Show some respect.","4. Promote a productive level of emotional expression, 2. Help the parties understand each other's views, 2. Help the parties understand each other's views, 4. Promote a productive level of emotional expression",Could you please explain your point of view? A. could you explain Why did you feel disrespected? and B. could you explain Why did you think your behavior was appropriate?,60,180,,,,,,,,,,,,,,,,,,
,,B,"Whoa, I wasn't trying to disrespect you. But I had to keep the meeting on track.",,,,,,,,,,,,,,,,,,,,,,
,,A,"By shutting me down? Real nice leadership there, boss.  ",,,,,,,,,,,,,,,,,,,,,,
,,B,"Think what you want, but I have to do what's best for the whole team, not just you.",,,,,,,,,,,,,,,,,,,,,,
13,Complex,A,The damn software keeps crashing and screwing over our clients. We need this fixed like yesterday. ,"2. Help the parties understand each other's views, 5. Lay out the differences in perceptions and interests, 13. Propose solutions that meet the fundamental interests of all parties.","Hi everyone, we know this is a critical issue affecting your clients. Let's try to find a practical solution. B, could you share more details about the steps you’re taking to address the problem and the estimated timeline? A, if there are specific client impacts that need immediate attention, could you outline those for us? This way, we can work together to prioritize and address the most pressing concerns.",,,,,,,,,,,,,,,,,,,,
,,B,Looks like the update borked things for clients on old systems. Probably should've caught that.,,,,,,,,,,,,,,,,,,,,,,
,,A,No shit. That's a major mess up. Roll it back or patch it NOW.,,,,,,,,,,,,,,,,,,,,,,
,,B,It's not that simple. We're working on a fix but it's going to take time.,,,,,,,,,,,,,,,,,,,,,,
14,Complex,A,Someone's been racking up charges on my account again. Second time this month. What the hell?,"4. Promote a productive level of emotional expression, 11. Shift the focus from one of blame to a creative exchange between the parties, 7. Help parties realistically evaluate alternatives to settlement","In the first place, it's important to be respectful to each other. That's why for a better understanding, you have to use a good vocabulary. Then, A, this kind of problem can occur even with high security and and the important thing is to act fast, in particular, A, by opting for a more complex password, and B, by implementing a more effective cybersecurity system, even if this is more expensive. In any case, maybe you can look into insurance policies to get a refund on stolen money.",155,400,,,,,,,,,,,,,,,,,,
,,B,"From the looks of it, I'd guess your login info got jacked somehow.",,,,,,,,,,,,,,,,,,,,,,
,,A,So what're you gonna do to lock my shit down now?,,,,,,,,,,,,,,,,,,,,,,
,,B,"We're investigating and improving security, but you need to be careful too.",,,,,,,,,,,,,,,,,,,,,,
15,Confusion,A,I specifically booked a window and ended up stuck in the middle. The hell is that about?,4. Promote a productive level of emotional expression,"A, please, be respectful to B in asking for explanation.",5,30,,,,,,,,,,,,,,,,,,
,,B,"Yeah, looks like they swapped planes last minute and the seat layout changed.",,,,,,,,,,,,,,,,,,,,,,
,,A,"I picked you guys for a reason. This trip sucks now, thanks a lot.",,,,,,,,,,,,,,,,,,,,,,
,,B,"And we apologize for the inconvenience, but there's nothing more I can do. You'll have to take it up with customer service after your trip.",,,,,,,,,,,,,,,,,,,,,,
16,Confusion,A,Your stupid discount code isn't working. Says it's good but Not applicable.,"4. Promote a productive level of emotional expression, 11. Shift the focus from one of blame to a creative exchange between the parties","Hello both, it's normal to have some frustration during a deal, however insulting people is not a good solution, it can make the disagreement bigger and make it harder to fulfill your claims. Why don't we discuss what's going on? We can also look at why the discount code isn't working and maybe we can find a perfect solution!",23,42,,,,,,,,,,,,,,,,,,
,,B,Sounds like it wasn't set up right. That's on us.,,,,,,,,,,,,,,,,,,,,,,
,,A,No shit. Should've been checked. Get your act together.,,,,,,,,,,,,,,,,,,,,,,
,,B,"I understand your frustration, but yelling at me isn't going to fix it any faster.",,,,,,,,,,,,,,,,,,,,,,
17,Evidential,A,Your crew bailed on the job site before finishing. Now we're behind schedule and it's on you.,"1. Encourage exchanges of information, 3. Let the parties know that their concerns are understood","Hey, what happened? It's so frustrating when work doesn't get done on time. Is there some misunderstanding here? Before discussing a solution, we might want to investigate what exactly is going on with B's crew to complete the work. Anyway, by investigating the situation and then remedying it in a timely manner, I think the work schedule will always catch up, right?",117,147,,,,,,,,,,,,,,,,,,
,,B,That can't be right. The guys said they wrapped up as planned.,,,,,,,,,,,,,,,,,,,,,,
,,A,I've got timestamped photos showing there half-baked work. Explain that.,,,,,,,,,,,,,,,,,,,,,,
,,B,I don't have an explanation for you right now. I'll have to look into it.,,,,,,,,,,,,,,,,,,,,,,
18,Evidential,A,I was promised next-day delivery. It came 3 days late. That's not next-day in my book.,"2. Help the parties understand each other's views, 5. Lay out the differences in perceptions and interests, 11. Shift the focus from one of blame to a creative exchange between the parties","It is true that the package not being delivered at the agreed time is a problem, and I think B can understand A's frustration, and I think A can realize that there are many steps in the process of delivering a package, and that a mistake at one point can lead to a delay. Let's communicate the differences before we discuss the next step, A thinks that B should be responsible for the delay of the parcel because B gave a promise in this regard. b thinks that the courier should be responsible for this. I think in general, if the merchant made a promise it should be delivered on time, however since the shipment has been delayed, should we consider discussing some compensation? For example, B could give A some credit rolls or a refund.

",63,231,,,,,,,,,,,,,,,,,,
,,B,Tracking shows we sent it out in time but got held up by the courier.,,,,,,,,,,,,,,,,,,,,,,
,,A,I plan around your promises. You need to make this right.,,,,,,,,,,,,,,,,,,,,,,
,,B,"And like I explained, it was out of our hands once it left our warehouse. You'll have to take it up with the courier.",,,,,,,,,,,,,,,,,,,,,,
19,Impossible,A,I need to cancel my order but your stupid site says it's too late. ,"4. Promote a productive level of emotional expression, 10. Shift the focus from past to future","A, let's be respectful towards staff members. If your order can't be canceled, maybe consider being more cautious in future purchases, for instance by checking policies.",60,180,,,,,,,,,,,,,,,,,,
,,B,"Yeah, once it's out the door, it's a done deal. No take backs.",,,,,,,,,,,,,,,,,,,,,,
,,A,"What kind of customer service is that? Get it back, I don't want it.",,,,,,,,,,,,,,,,,,,,,,
,,B,"Like I said, can't happen. Take it up with management if you don't like it, but I'm just following policy.",,,,,,,,,,,,,,,,,,,,,,
20,Impossible,A,Turns out I'm allergic to this shirt but your policy won't let me return it worn. ,1. Encourage exchanges of information,"Hi, could you tell us if you were aware of this allergy beforehand and if the composition of the fabric was communicated to you?",60,60,,,,,,,,,,,,,,,,,,
,,B,"Yeah, for hygiene reasons we can't take back stuff that's been worn, it's policy.",,,,,,,,,,,,,,,,,,,,,,
,,A,That's ridiculous. I could end up in the hospital and you're citing policy? Come on.,,,,,,,,,,,,,,,,,,,,,,
,,B,"I sympathize, but I can't override company policy. ",,,,,,,,,,,,,,,,,,,,,,
21,Emotional,A,This is the final time I will tell you. These dogs need to calm down!! They bark when my daughter walks by. She is terrified. I cannot live like this! ,"4. Promote a productive level of emotional expression, 3. Let the parties know that their concerns are understood, 13. Propose solutions that meet the fundamental interests of all parties.","Let’s reduce the decibel volume and not threaten each other, especially as neighbours. A, I understand you fear for your children’s well-being, and B, I understand you feel like your dogs should be entitled to be able to bark in your own property. B, what do you think about having your dogs trained or keeping them inside when the children are usually outside, and A, is there a path your children could use that does not include passing by B’s property ?",120,360,,,,,,,,,,,,,,,,,,
,,B,My dogs have the right to be in my garden! Do not tell me what to do.,,,,,,,,,,,,,,,,,,,,,,
,,A,"Please, my children are terrified. I am begging you, please reign in the dogs, or I will go to the police.",,,,,,,,,,,,,,,,,,,,,,
,,B,Don't you dare! I will make your life hell.,,,,,,,,,,,,,,,,,,,,,,
22,Emotional,A,Hi! The bike you sold me has a problem - the gears will not shift. Do you think you could repair it?,"4. Promote a productive level of emotional expression, 8. Suggest that the parties take breaks when negotiations reach an impasse, 1. Encourage exchanges of information","Let's remain polite towards each other, especially B. Why don't you cool down a little bit before pursuing the conversation ? In any case, A, could you specify if the gears did not shift from the start or did it happened after you used them ?",60,180,,,,,,,,,,,,,,,,,,
,,B,"Huh? That is not my problem, ",,,,,,,,,,,,,,,,,,,,,,
,,A,"What the fuck? I ask a completely reasonable question and you respond like this? that makes no sense, you suck",,,,,,,,,,,,,,,,,,,,,,
,,B,I am not interested in talking with you if you respond like this. Will block you.,,,,,,,,,,,,,,,,,,,,,,
23,Complex,A,"Hello! I received a letter form you, asking for repayment of a debt of 20,000 CAD. However, I do not owe you this money. I will not pay.","1. Encourage exchanges of information, 3. Let the parties know that their concerns are understood, 5. Lay out the differences in perceptions and interests","B, may we see the documents outlining A's debt? A, I understand you want to make sure the debt is indeed yours to be and to validate the amount. B, I understand you want a payment for the debt you acquired. B, please understand A's concern about making sure the debt is indeed theirs.",45,202,,,,,,,,,,,,,,,,,,
,,B,Hello! I purchased this debt from a previous owner a few weeks ago. You incurred this debt in the casino in Niagara Falls. You have 4 weeks to pay.,,,,,,,,,,,,,,,,,,,,,,
,,A,"This is ridiculous. I did not spend that much money. I owed 1400 CAD to Frank Kinney. I have no idea who you are. Further, I have since settled the debt with Frank.",,,,,,,,,,,,,,,,,,,,,,
,,B,"That is not possible. I purchased the debt, and you owe me the money. I have documents with your signature outlining the debt.",,,,,,,,,,,,,,,,,,,,,,
24,Complex,A,"Hello! I would like to request compensation regarding an accident that your client was involved with. They rear-ended my car, causing me damages of 4000 CAD. Please transfer the money as soon as possible.","4. Promote a productive level of emotional expression, 6. Identify and narrow issues, 13. Propose solutions that meet the fundamental interests of all parties.","This dialogue will benefit from a clear and concise discussion, given the different issues involved. If I'm understanding this correctly, the discussion points revolve around imported car compliance and how that would reflect on the responsibility of the hit? In such a complex case, there is no clear responsibility, so the distribution of repair costs could be revised to something closer to fifty-fifty.",90,180,,,,,,,,,,,,,,,,,,
,,B,"Hi! Our client has informed us that you were at fault for the accident, since you braked in an unusual spot. Further, they told us that your car was missing the braking light required by law.",,,,,,,,,,,,,,,,,,,,,,
,,A,"My car is temporarily here, imported from the European Union, where the technology is not mandated. I suggest you look at the import rules, as I did nothing wrong... In any case, it does not matter, it is always the fault of the person who hits the other. Dont you know this?",,,,,,,,,,,,,,,,,,,,,,
,,B,This is not an accurate representation of the law. It only applies if the car is present less than 6 weeks. You mentioned you were here for 2 months. You do not have a claim - I suggest you speak to your own insurance instead.,,,,,,,,,,,,,,,,,,,,,,
25,Confusion,A,"Hello! It did not arrive as expected, can you send it please?","1. Encourage exchanges of information, 3. Let the parties know that their concerns are understood","B, I understand you legitimately expect to receive you order in due time. Why don't you give A your order number so he/she can help you know more about your order's whereabouts ?",60,120,,,,,,,,,,,,,,,,,,
,,B,Hi! Could you please provide more detail about your purchase? Do you have an order number?,,,,,,,,,,,,,,,,,,,,,,
,,A,"In the email it said it would arrive last week, but its already 3 weeks. Please, I need it today.",,,,,,,,,,,,,,,,,,,,,,
,,B,Could you please provide more detail? I need to find your data in the system.,,,,,,,,,,,,,,,,,,,,,,
26,Confusion,A,Hi! I cannot move by the apartment. You need to clear the road.,"1. Encourage exchanges of information, 9. Encourage flexibility and creativity","Hi all, I think the primary issue is to help A move into the apartment smoothly. It would be in the interest of both A and B to solve these problems as soon as possible.A, why don't you explain exactly what problems you are facing, such as what is blocking the way?B, you can also say what you can do to help. Shirking responsibilities to each other will make this matter take longer. If we are flexible, it will only take half a day to help A move smoothly, what do you think?",88,243,,,,,,,,,,,,,,,,,,
,,B,"What do you mean? I am not the landlord, I just rent my apartment.",,,,,,,,,,,,,,,,,,,,,,
,,A,"Yes, but it says that it is your stuff. Please move it",,,,,,,,,,,,,,,,,,,,,,
,,B,I am not sure what you mean. ,,,,,,,,,,,,,,,,,,,,,,
27,Evidential,A,Hello! You destroyed my couch. Please pay me to fix it.,"1. Encourage exchanges of information, 11. Shift the focus from one of blame to a creative exchange between the parties","hey yo. it sounds like there is some confusing information here. the first thing we need to do is find out who destroyed the couch of a. i suggest that we calm down and try to remember what happened. a., did you see b. destroying your couch? b., can you describe what you did near the couch? Did you see anyone else near the couch?I don't think blaming the other person is going to solve the problem.I think the next step is to determine what really happened.Maybe we can ask the neighbors if they saw who destroyed the couch. What do you guys think?",47,141,,,,,,,,,,,,,,,,,,
,,B,Hi! What are you talking about? I never touched your couch.,,,,,,,,,,,,,,,,,,,,,,
,,A,"I saw you stand by it and it was broken once you left. I know it was you, pay up",,,,,,,,,,,,,,,,,,,,,,
,,B,That is ridiculous. It must have been somebody else.,,,,,,,,,,,,,,,,,,,,,,
28,Evidential,A,Hey! You promised you would sell me your computer for 500 CAD. Can I pick it up tomorrow at 3pm?,"3. Let the parties know that their concerns are understood, 7. Help parties realistically evaluate alternatives to settlement","Okay, I can understand how both of you feel, A, you think you've agreed with B to pick up the goods tomorrow, and B, you think you've never made any promises. I think this perceived inconsistency in the agreement is troubling to both of you. Our priority here is to resolve this issue. B, would you be willing to sell the computer to A. I believe that his reconfirming with you that he will pick it up tomorrow is a very good faith gesture, and that it would not be a bad thing to deal with him. A. What do you think of this? If possible, would you consider a slight price increase? I believe it would be in everyone's best interest to make this deal go through.",49,254,,,,,,,,,,,,,,,,,,
,,B,I never promised such a thing? I said I would consider selling it.,,,,,,,,,,,,,,,,,,,,,,
,,A,"No I am sure you said it. We were talking at lunch, and you made me the offer. I accept.",,,,,,,,,,,,,,,,,,,,,,
,,B,You cannot accept an offer I never made! ,,,,,,,,,,,,,,,,,,,,,,
29,Impossible,A,Hello! You insulted me at the school board meeting. I want you to apologize in writing.,"7. Help parties realistically evaluate alternatives to settlement, 8. Suggest that the parties take breaks when negotiations reach an impasse","It seems important for A to receive excuses which can give the sentiment to save its reputation, A if you insulted B you should give excuses. If B keeps refuse it, you should take a break and clearly think about the situation. ",99,423,,,,,,,,,,,,,,,,,,
,,B,I will never apologize. I meant what I said.,,,,,,,,,,,,,,,,,,,,,,
,,A,"My reputation is ruined, and the insitution is sullied. You need to write the letter.",,,,,,,,,,,,,,,,,,,,,,
,,B,"Sorry, not happening. I would rather die.",,,,,,,,,,,,,,,,,,,,,,
30,Impossible,A,"Hello! I saw you published the book, but I am not mentioned anywhere. I did so much work, I should be an author on the book. You have to call the publisher.","1. Encourage exchanges of information, 2. Help the parties understand each other's views","A, is there any chance you could provide a proof of your claim that B said you would get money? Also, could you hightlight what you contributed to the book? I think this would help shed some light on the situation. It seems like there is some misunderstading regarding the situation. A, you believe your contribution to the book should be acknowledged., and that B said they would. B, you believe that A's contribution is not enough to warrant an acknowledgement and a payment and that you didnt promise anything regarding that,",42,230,,,,,,,,,,,,,,,,,,
,,B,"What? You gave me some feedback, that is all. I never said you would be part of it, you just helped as a friend.",,,,,,,,,,,,,,,,,,,,,,
,,A,"No I only helped because I would get money, as you said.",,,,,,,,,,,,,,,,,,,,,,
,,B,"That is ridiculous, I never said such a thing. You are not getting anything.",,,,,,,,,,,,,,,,,,,,,,
31,Emotional,A,"Hi, the digital key for the door does not work anymore, I can't get in","1. Encourage exchanges of information, 7. Help parties realistically evaluate alternatives to settlement, 13. Propose solutions that meet the fundamental interests of all parties.","A, maybe you can give more precision about why it's not working, by chance it can be fixed by phone. B, you can understand that A can't spend the night out even if it's understandable that no technicians work at 11 p.m. If it's absolutely necessary to be on site to repair, maybe B you can invite A to take a night at the hotel at a good price, which you will refund if you find that there was indeed a problem that was not the fault of A",105,300,,,,,,,,,,,,,,,,,,
,,B,"Hi, thanks for contacting us, we will fix it tomorrow ",,,,,,,,,,,,,,,,,,,,,,
,,A,Tomorrow? But it's 11 PM! Where TF am I supposed to sleep tonight?,,,,,,,,,,,,,,,,,,,,,,
,,B,"Indeed it's 11 PM, so we are not going to come at this hour.",,,,,,,,,,,,,,,,,,,,,,
32,Emotional,A,"Dude, I asked you to delete that picture of me and it's still on your account","4. Promote a productive level of emotional expression, 13. Propose solutions that meet the fundamental interests of all parties.","Let's not insult each other or downplay's one feelings. B, you must delete the picture, since keeping it without A's consent is illegal.  ",50,180,,,,,,,,,,,,,,,,,,
,,B,So? It looks funny and I will not put it down,,,,,,,,,,,,,,,,,,,,,,
,,A,"This is not flattering, you idiot, and I'm entitled to have it deleted.",,,,,,,,,,,,,,,,,,,,,,
,,B,"Yeah yeah, cry more",,,,,,,,,,,,,,,,,,,,,,
